"pitcher","role_key","inning","outs_when_up","score_gap","on_3b","on_2b","on_1b","Segmentation","Segmentation_tier2"
677976,"RP",7,0,14,0,0,0,"B1","B1"
518397,"RP",9,0,7,0,0,0,"B1","B1"
448281,"RP",7,0,0,0,0,0,"A","A"
605525,"RP",9,2,-7,0,1,1,"B2","B2"
571656,"RP",4,0,-6,0,0,0,"B2","B2"
656420,"RP",7,2,-2,1,0,1,"A","A++"
453265,"RP",8,2,-2,0,1,0,"A","A++"
592222,"RP",7,0,-2,0,0,0,"A","A"
534910,"RP",9,0,3,0,0,0,"B1","B1"
595465,"RP",6,2,1,0,1,1,"A","A++"
453192,"RP",8,0,-11,0,0,0,"B2","B2"
656546,"SP",1,0,0,0,0,0,"A","A"
643778,"RP",6,1,-6,0,0,1,"B2","B2"
596057,"RP",6,1,2,1,1,0,"A","A++"
669145,"SP",1,0,3,0,0,0,"B1","B1"
593334,"SP",1,0,0,0,0,0,"A","A"
641582,"RP",9,0,0,0,0,1,"A","A+"
608334,"RP",7,0,9,0,0,0,"B1","B1"
607572,"RP",6,1,-2,0,0,1,"A","A+"
608032,"RP",7,0,-3,0,0,0,"B2","B2"
664854,"RP",6,0,-3,0,0,0,"B2","B2"
453178,"RP",9,0,5,0,0,0,"B1","B1"
656302,"SP",1,0,0,0,0,0,"A","A"
501381,"SP",1,0,1,0,0,0,"A","A"
518886,"RP",9,0,1,0,0,0,"A","A"
593372,"SP",1,0,0,0,0,0,"A","A"
543475,"SP",1,0,0,0,0,0,"A","A"
607219,"RP",8,1,11,0,1,1,"B1","B1"
571656,"RP",8,0,-3,0,0,0,"B2","B2"
596001,"RP",5,0,-6,0,0,0,"B2","B2"
621249,"RP",5,0,-3,0,0,0,"B2","B2"
676051,"RP",5,2,0,0,0,0,"A","A"
622088,"RP",6,0,3,0,0,0,"B1","B1"
642233,"RP",9,0,-6,0,0,0,"B2","B2"
598264,"RP",8,0,-7,0,0,0,"B2","B2"
433589,"RP",6,1,-4,0,1,1,"B2","B2"
641302,"RP",9,0,-5,0,0,0,"B2","B2"
622065,"RP",7,2,3,0,1,1,"B1","B1"
660896,"RP",8,0,6,0,0,0,"B1","B1"
605447,"RP",8,0,2,0,0,0,"A","A"
592346,"RP",4,0,-3,0,0,0,"B2","B2"
570663,"RP",7,0,4,0,0,0,"B1","B1"
669373,"SP",1,0,0,0,0,0,"A","A"
622503,"RP",6,0,-3,0,0,0,"B2","B2"
656876,"RP",6,0,-1,0,0,0,"A","A"
608349,"RP",9,0,2,0,0,0,"A","A"
642203,"SP",1,0,2,0,0,0,"A","A"
628711,"SP",1,0,3,0,0,0,"B1","B1"
663423,"RP",5,0,3,0,0,0,"B1","B1"
676477,"RP",3,2,-10,0,1,1,"B2","B2"
670280,"RP",8,0,-1,0,0,0,"A","A"
641394,"RP",4,1,-5,1,1,0,"B2","B2"
656464,"RP",8,2,3,1,0,1,"B1","B1"
458676,"RP",7,0,-4,0,0,0,"B2","B2"
608717,"RP",4,0,-3,0,0,0,"B2","B2"
622092,"RP",6,0,-6,0,0,0,"B2","B2"
594795,"RP",8,2,-1,1,1,1,"A","A++"
606965,"RP",9,0,3,0,0,0,"B1","B1"
660271,"SP",1,0,0,0,0,0,"A","A"
657240,"RP",9,0,2,0,0,0,"A","A"
605288,"SP",1,0,0,0,0,0,"A","A"
614179,"RP",8,0,-1,0,0,0,"A","A"
554431,"RP",6,0,-1,0,0,0,"A","A"
592865,"RP",5,0,-3,0,0,0,"B2","B2"
650633,"RP",4,0,-3,0,0,0,"B2","B2"
605200,"SP",1,0,0,0,0,0,"A","A"
605138,"RP",6,2,4,0,0,0,"B1","B1"
657031,"RP",3,0,-3,1,1,1,"B2","B2"
607481,"RP",7,0,-1,0,0,0,"A","A"
663978,"SP",1,0,0,0,0,0,"A","A"
605309,"RP",9,0,-3,0,0,0,"B2","B2"
621345,"RP",7,0,0,0,0,0,"A","A"
493603,"RP",9,0,-7,0,0,0,"B2","B2"
663903,"SP",1,0,0,0,0,0,"A","A"
621366,"RP",6,1,2,0,1,0,"A","A++"
640455,"SP",1,0,0,0,0,0,"A","A"
596112,"RP",8,0,-3,0,0,0,"B2","B2"
657612,"RP",8,0,-3,0,0,0,"B2","B2"
628452,"RP",8,1,1,0,0,1,"A","A+"
596295,"SP",1,0,0,0,0,0,"A","A"
519076,"RP",8,0,4,0,0,1,"B1","B1"
571710,"RP",9,0,-2,0,0,0,"A","A"
621237,"RP",8,0,0,0,0,0,"A","A"
666120,"SP",1,0,0,0,0,0,"A","A"
572070,"SP",1,0,0,0,0,0,"A","A"
621107,"SP",1,0,0,0,0,0,"A","A"
642083,"RP",7,0,1,0,0,0,"A","A"
650893,"RP",7,0,-9,0,0,0,"B2","B2"
656232,"RP",5,1,4,1,0,0,"B1","B1"
661403,"RP",9,0,6,0,0,0,"B1","B1"
664054,"RP",6,0,5,0,0,0,"B1","B1"
615698,"RP",8,0,5,0,0,0,"B1","B1"
451584,"RP",9,0,-4,0,0,0,"B2","B2"
643615,"SP",1,0,0,0,0,0,"A","A"
605195,"RP",7,0,-2,0,0,0,"A","A"
605525,"RP",8,0,-7,0,0,0,"B2","B2"
593576,"RP",9,0,1,0,0,0,"A","A"
664789,"RP",9,0,-7,0,0,0,"B2","B2"
592233,"RP",7,0,3,0,0,0,"B1","B1"
475479,"RP",7,0,2,0,0,0,"A","A"
465657,"RP",8,0,3,0,0,0,"B1","B1"
617228,"RP",7,0,-7,0,0,0,"B2","B2"
592473,"RP",5,2,-4,0,0,1,"B2","B2"
650644,"SP",1,0,1,0,0,0,"A","A"
664353,"SP",1,0,1,0,0,0,"A","A"
642121,"RP",7,0,7,0,0,0,"B1","B1"
669330,"RP",9,0,8,0,0,0,"B1","B1"
656605,"SP",1,0,0,0,0,0,"A","A"
571521,"RP",8,1,2,0,0,0,"A","A"
455119,"RP",8,0,0,0,0,0,"A","A"
518553,"RP",5,2,0,0,0,1,"A","A+"
572193,"RP",7,0,2,0,0,0,"A","A"
641394,"RP",8,0,6,0,0,0,"B1","B1"
669203,"SP",1,0,0,0,0,0,"A","A"
548384,"RP",8,1,4,1,1,1,"B1","B1"
593140,"RP",7,2,-4,0,1,1,"B2","B2"
606625,"RP",7,0,-3,0,0,0,"B2","B2"
664948,"RP",8,0,4,0,0,0,"B1","B1"
543521,"RP",8,0,-2,0,0,0,"A","A"
425794,"SP",1,0,0,0,0,0,"A","A"
571670,"RP",8,0,3,0,0,0,"B1","B1"
622250,"RP",6,0,1,0,0,0,"A","A"
608648,"RP",8,0,2,0,0,0,"A","A"
446372,"SP",1,0,0,0,0,0,"A","A"
592169,"RP",6,0,-1,0,0,0,"A","A"
672335,"RP",6,2,5,1,1,0,"B1","B1"
453562,"SP",1,0,0,0,0,0,"A","A"
607219,"RP",9,0,5,0,0,0,"B1","B1"
605280,"RP",6,0,-2,0,0,0,"A","A"
502171,"SP",1,0,0,0,0,0,"A","A"
596001,"RP",7,0,6,0,0,0,"B1","B1"
502042,"RP",5,0,2,0,0,0,"A","A"
554430,"SP",1,0,0,0,0,0,"A","A"
641835,"RP",6,2,-1,1,1,1,"A","A++"
501625,"RP",8,0,-4,0,0,0,"B2","B2"
592351,"SP",1,0,0,0,0,0,"A","A"
518886,"RP",9,0,4,0,0,0,"B1","B1"
640444,"RP",7,0,-3,0,0,0,"B2","B2"
456713,"RP",8,0,-6,0,0,0,"B2","B2"
643256,"RP",5,1,1,1,0,1,"A","A++"
491624,"RP",9,0,2,0,0,0,"A","A"
453268,"RP",9,0,-1,0,0,0,"A","A"
663855,"RP",7,0,-6,0,0,0,"B2","B2"
643338,"RP",8,2,2,0,1,1,"A","A++"
542914,"RP",9,0,5,0,0,0,"B1","B1"
503285,"RP",8,0,2,0,0,0,"A","A"
534910,"RP",8,2,6,1,1,0,"B1","B1"
527054,"SP",1,0,0,0,0,0,"A","A"
669294,"RP",3,1,0,0,0,0,"A","A"
656420,"RP",9,0,-2,0,0,0,"A","A"
606160,"RP",8,2,4,0,1,1,"B1","B1"
665854,"RP",8,0,-4,0,0,0,"B2","B2"
664208,"RP",7,2,-4,1,1,0,"B2","B2"
503569,"RP",6,0,-1,0,0,0,"A","A"
657277,"SP",1,0,0,0,0,0,"A","A"
592644,"RP",5,2,1,0,1,1,"A","A++"
450203,"SP",1,0,0,0,0,0,"A","A"
605397,"SP",1,0,0,0,0,0,"A","A"
606303,"RP",7,2,-2,0,0,0,"A","A"
542881,"SP",1,0,1,0,0,0,"A","A"
650530,"RP",8,2,3,0,0,1,"B1","B1"
624647,"RP",8,0,2,0,0,0,"A","A"
622253,"RP",8,0,2,0,0,0,"A","A"
453192,"RP",6,0,-5,0,0,0,"B2","B2"
621244,"SP",1,0,0,0,0,0,"A","A"
592773,"RP",6,0,4,0,0,0,"B1","B1"
543022,"RP",4,1,-1,0,1,1,"A","A++"
605488,"RP",7,1,-1,1,1,1,"A","A++"
621295,"RP",7,0,-1,0,0,0,"A","A"
660623,"RP",7,0,-4,0,0,0,"B2","B2"
458708,"RP",8,0,-4,0,0,0,"B2","B2"
643778,"RP",8,0,-5,0,0,0,"B2","B2"
667463,"RP",6,0,1,1,1,1,"A","A++"
445276,"RP",8,1,1,0,1,1,"A","A++"
622694,"SP",1,0,0,0,0,0,"A","A"
608718,"RP",7,1,-1,0,0,0,"A","A"
518774,"SP",1,0,0,0,0,0,"A","A"
641755,"RP",7,0,-1,0,0,0,"A","A"
605359,"RP",8,0,1,0,0,0,"A","A"
641302,"RP",8,0,4,0,0,0,"B1","B1"
622075,"RP",6,0,2,0,1,0,"A","A++"
621366,"RP",5,0,-1,0,0,0,"A","A"
517008,"RP",9,0,2,0,0,0,"A","A"
570488,"RP",8,0,-2,0,0,0,"A","A"
663986,"RP",8,0,-3,0,0,0,"B2","B2"
571710,"RP",8,0,0,0,0,0,"A","A"
592426,"RP",6,2,-4,1,1,0,"B2","B2"
642092,"RP",4,0,-4,0,0,0,"B2","B2"
595014,"RP",7,0,2,0,0,0,"A","A"
676969,"RP",7,0,-6,0,0,0,"B2","B2"
519443,"RP",7,0,3,0,0,0,"B1","B1"
605538,"RP",6,1,-3,0,1,1,"B2","B2"
448179,"SP",1,0,0,0,0,0,"A","A"
548389,"SP",1,0,0,0,0,0,"A","A"
572143,"RP",8,0,-4,0,0,0,"B2","B2"
676979,"RP",5,2,0,0,1,1,"A","A++"
660600,"RP",8,0,4,0,0,0,"B1","B1"
605177,"RP",8,0,4,0,0,0,"B1","B1"
448855,"RP",8,2,-1,0,0,1,"A","A+"
605242,"RP",7,0,1,0,0,0,"A","A"
594056,"RP",9,0,-4,0,0,0,"B2","B2"
448281,"RP",8,1,6,0,1,1,"B1","B1"
502706,"RP",6,0,1,0,0,0,"A","A"
453265,"RP",7,0,-1,0,0,0,"A","A"
592761,"SP",1,0,0,0,0,0,"A","A"
663765,"RP",3,2,-5,1,0,1,"B2","B2"
656557,"SP",1,0,0,0,0,0,"A","A"
642528,"RP",5,0,1,0,0,0,"A","A"
605151,"RP",8,0,4,0,0,0,"B1","B1"
656794,"RP",6,0,-3,0,0,0,"B2","B2"
458681,"SP",1,0,0,0,0,0,"A","A"
608344,"SP",1,0,0,0,0,0,"A","A"
642152,"RP",5,1,-1,0,1,1,"A","A++"
542947,"RP",7,0,0,0,0,0,"A","A"
650382,"RP",7,0,-1,0,0,0,"A","A"
685503,"SP",1,0,2,0,0,0,"A","A"
592135,"RP",6,0,6,0,0,1,"B1","B1"
647315,"RP",6,0,0,0,0,0,"A","A"
641816,"SP",1,0,0,0,0,0,"A","A"
573124,"RP",7,0,1,0,0,0,"A","A"
623167,"SP",1,0,0,0,0,0,"A","A"
608665,"RP",6,0,3,0,0,0,"B1","B1"
476595,"RP",7,0,3,0,0,0,"B1","B1"
622251,"RP",9,0,7,0,0,0,"B1","B1"
621121,"SP",1,0,1,0,0,0,"A","A"
657044,"RP",7,0,0,0,1,1,"A","A++"
593576,"RP",9,0,4,0,0,0,"B1","B1"
621111,"SP",1,0,0,0,0,0,"A","A"
501985,"SP",1,0,0,0,0,0,"A","A"
668676,"SP",1,0,0,0,0,0,"A","A"
677960,"RP",7,0,7,0,0,0,"B1","B1"
641871,"RP",7,2,-3,0,0,1,"B2","B2"
592222,"RP",9,2,-4,0,1,0,"B2","B2"
456034,"RP",7,1,6,0,0,0,"B1","B1"
456501,"SP",1,0,0,0,0,0,"A","A"
519151,"RP",9,0,4,0,0,0,"B1","B1"
664299,"SP",1,0,0,0,0,0,"A","A"
518617,"RP",9,0,-1,0,0,0,"A","A"
642232,"SP",1,0,0,0,0,0,"A","A"
594577,"RP",7,1,-1,0,1,1,"A","A++"
571760,"SP",1,0,0,0,0,0,"A","A"
661255,"RP",5,0,-3,0,1,0,"B2","B2"
624647,"RP",9,0,5,0,0,0,"B1","B1"
608716,"RP",7,0,0,0,0,0,"A","A"
548384,"RP",7,0,4,0,0,0,"B1","B1"
489334,"RP",5,2,3,0,1,0,"B1","B1"
666200,"SP",1,0,0,0,0,0,"A","A"
489265,"RP",8,0,-2,0,0,0,"A","A"
579328,"SP",1,0,0,0,0,0,"A","A"
664199,"RP",7,0,-1,0,0,0,"A","A"
622608,"SP",1,0,0,0,0,0,"A","A"
607644,"SP",1,0,0,0,0,0,"A","A"
650556,"RP",4,2,3,0,1,1,"B1","B1"
518876,"SP",1,0,0,0,0,0,"A","A"
448855,"RP",4,0,-4,0,1,1,"B2","B2"
595411,"RP",7,2,2,1,0,1,"A","A++"
572143,"RP",6,0,-3,0,0,0,"B2","B2"
453343,"RP",9,0,2,0,0,0,"A","A"
596112,"RP",7,1,-9,0,1,1,"B2","B2"
543135,"SP",1,0,0,0,0,0,"A","A"
475054,"RP",7,0,2,0,0,0,"A","A"
641386,"RP",6,0,-8,0,0,0,"B2","B2"
664126,"RP",6,2,1,0,1,0,"A","A++"
521230,"RP",8,2,1,0,1,1,"A","A++"
605483,"SP",1,0,0,0,0,0,"A","A"
552640,"RP",8,0,-1,0,0,0,"A","A"
628452,"RP",9,0,-1,0,0,0,"A","A"
542914,"RP",9,0,2,0,0,0,"A","A"
641582,"RP",5,0,3,0,1,1,"B1","B1"
656629,"RP",6,0,1,0,0,0,"A","A"
656945,"RP",8,0,3,0,0,0,"B1","B1"
459429,"RP",9,0,3,0,0,0,"B1","B1"
518553,"RP",9,1,-2,0,0,1,"A","A+"
617228,"RP",9,0,-3,0,0,0,"B2","B2"
595928,"RP",7,0,-1,0,0,0,"A","A"
657031,"RP",8,0,-2,0,0,0,"A","A"
641154,"SP",1,0,0,0,0,0,"A","A"
468504,"RP",4,1,-6,1,0,1,"B2","B2"
641941,"RP",8,0,2,0,0,0,"A","A"
605525,"RP",9,2,-3,0,1,1,"B2","B2"
656464,"RP",6,0,-3,0,0,0,"B2","B2"
643511,"RP",8,0,3,0,0,0,"B1","B1"
592865,"RP",7,2,1,0,0,0,"A","A"
676606,"RP",9,0,-3,0,0,0,"B2","B2"
592233,"RP",8,0,-2,0,0,0,"A","A"
642130,"RP",8,0,2,0,0,0,"A","A"
593974,"RP",6,2,0,0,0,0,"A","A"
501925,"RP",7,1,2,0,0,0,"A","A"
605359,"RP",8,0,1,0,0,1,"A","A+"
545333,"SP",1,0,2,0,0,0,"A","A"
542947,"RP",6,0,0,0,0,0,"A","A"
650895,"RP",9,0,2,0,0,0,"A","A"
554340,"RP",8,0,1,0,0,0,"A","A"
572971,"SP",1,0,0,0,0,0,"A","A"
669735,"RP",5,1,-3,0,0,0,"B2","B2"
608032,"RP",8,0,-4,0,0,0,"B2","B2"
592169,"RP",8,1,-3,0,1,0,"B2","B2"
642068,"RP",9,0,-5,0,0,0,"B2","B2"
542882,"RP",6,1,0,0,0,1,"A","A+"
491624,"RP",9,0,3,0,0,0,"B1","B1"
642130,"RP",8,2,4,0,1,1,"B1","B1"
621345,"RP",7,0,0,0,0,0,"A","A"
608566,"SP",1,0,0,0,0,0,"A","A"
594577,"RP",8,0,-1,0,0,0,"A","A"
670280,"RP",7,0,3,0,0,0,"B1","B1"
455119,"RP",8,0,0,0,0,0,"A","A"
595465,"RP",6,1,-2,0,1,1,"A","A++"
643338,"RP",6,1,0,0,0,1,"A","A+"
605525,"RP",8,1,-4,0,1,1,"B2","B2"
641771,"SP",1,0,2,0,0,0,"A","A"
676051,"RP",6,1,1,0,0,0,"A","A"
642547,"RP",5,0,-2,0,0,0,"A","A"
543022,"RP",6,1,0,0,0,1,"A","A+"
628317,"SP",1,0,0,0,0,0,"A","A"
607219,"RP",5,0,-7,0,0,0,"B2","B2"
518858,"RP",10,0,0,0,1,0,"A","A++"
643778,"RP",5,1,6,1,1,1,"B1","B1"
656427,"SP",1,0,6,0,0,0,"B1","B1"
605400,"SP",1,0,0,0,0,0,"A","A"
519141,"RP",8,0,1,0,0,0,"A","A"
645261,"SP",1,0,0,0,0,0,"A","A"
446321,"RP",9,0,-1,0,0,0,"A","A"
606149,"RP",8,0,5,0,0,0,"B1","B1"
453268,"RP",9,0,3,0,0,0,"B1","B1"
622491,"SP",1,0,0,0,0,0,"A","A"
543766,"RP",7,0,-3,0,0,0,"B2","B2"
667463,"RP",6,0,-1,0,0,0,"A","A"
592233,"RP",6,0,1,0,0,0,"A","A"
594056,"RP",9,0,-4,0,0,0,"B2","B2"
433589,"RP",6,1,-1,0,1,1,"A","A++"
592135,"RP",4,1,-6,0,1,0,"B2","B2"
641755,"RP",8,0,4,0,0,0,"B1","B1"
642083,"RP",7,0,-1,0,0,0,"A","A"
622075,"RP",7,0,2,0,0,0,"A","A"
641745,"SP",1,0,0,0,0,0,"A","A"
642397,"RP",9,0,3,0,0,0,"B1","B1"
594987,"RP",7,0,-5,0,0,0,"B2","B2"
642152,"RP",7,0,-3,0,0,0,"B2","B2"
542585,"RP",6,2,3,0,0,1,"B1","B1"
506433,"SP",1,0,0,0,0,0,"A","A"
657612,"RP",5,2,2,0,0,0,"A","A"
641401,"RP",10,0,0,0,1,0,"A","A++"
475479,"RP",7,0,0,0,0,0,"A","A"
621129,"RP",3,2,1,0,1,1,"A","A++"
664854,"RP",6,0,5,0,0,0,"B1","B1"
554340,"RP",8,0,0,0,0,0,"A","A"
621249,"RP",4,0,1,0,0,0,"A","A"
607481,"RP",8,0,1,0,0,0,"A","A"
605130,"RP",7,0,1,0,0,0,"A","A"
543037,"SP",1,0,0,0,0,0,"A","A"
592346,"RP",5,0,1,0,0,0,"A","A"
605538,"RP",8,0,5,0,0,0,"B1","B1"
605540,"SP",1,0,0,0,0,0,"A","A"
650895,"RP",9,0,1,0,0,0,"A","A"
608331,"SP",1,0,0,0,0,0,"A","A"
554431,"RP",6,0,-2,0,0,0,"A","A"
642528,"RP",8,0,0,0,0,0,"A","A"
663465,"RP",8,0,-4,0,0,0,"B2","B2"
605280,"RP",5,0,2,0,0,0,"A","A"
621052,"RP",9,0,5,0,0,0,"B1","B1"
656464,"RP",5,0,1,0,0,0,"A","A"
672578,"RP",3,0,-1,0,0,0,"A","A"
605135,"SP",1,0,0,0,0,0,"A","A"
622065,"RP",6,2,1,0,1,1,"A","A++"
621237,"RP",8,0,0,0,0,0,"A","A"
606424,"RP",8,0,4,0,1,1,"B1","B1"
572193,"RP",8,2,-3,1,1,0,"B2","B2"
605151,"RP",7,2,0,0,0,0,"A","A"
571521,"RP",4,2,-1,1,1,0,"A","A++"
664126,"RP",8,0,1,0,0,0,"A","A"
607572,"RP",6,0,2,0,0,0,"A","A"
643256,"RP",9,2,-1,0,1,1,"A","A++"
642233,"RP",7,0,-1,0,0,0,"A","A"
605447,"RP",9,0,0,0,0,0,"A","A"
477132,"SP",1,0,0,0,0,0,"A","A"
518397,"RP",7,2,-4,0,0,1,"B2","B2"
676969,"RP",7,0,-1,0,0,0,"A","A"
650893,"RP",7,0,5,0,0,0,"B1","B1"
547943,"SP",1,0,0,0,0,0,"A","A"
605309,"RP",6,0,-1,0,0,0,"A","A"
623352,"RP",10,0,0,0,1,0,"A","A++"
518813,"RP",8,2,4,1,1,1,"B1","B1"
606160,"RP",9,0,1,0,0,0,"A","A"
656793,"RP",10,0,0,0,1,0,"A","A++"
448281,"RP",9,0,-5,0,0,0,"B2","B2"
517008,"RP",9,0,3,0,0,0,"B1","B1"
593576,"RP",9,0,0,0,0,0,"A","A"
459429,"RP",9,0,0,0,0,0,"A","A"
675916,"RP",8,0,-3,0,0,0,"B2","B2"
677976,"RP",10,0,0,0,1,0,"A","A++"
503285,"RP",9,0,0,0,0,0,"A","A"
571510,"SP",1,0,0,0,0,0,"A","A"
641941,"RP",7,0,0,0,0,0,"A","A"
664948,"RP",10,0,0,0,1,0,"A","A++"
594835,"SP",1,0,0,0,0,0,"A","A"
519443,"RP",4,0,-1,0,0,0,"A","A"
622092,"RP",2,1,-1,1,0,1,"A","A++"
596057,"RP",7,2,3,0,0,0,"B1","B1"
534910,"RP",6,0,2,0,0,0,"A","A"
608334,"RP",7,0,-5,0,0,0,"B2","B2"
608717,"RP",8,0,3,0,0,0,"B1","B1"
592773,"RP",9,0,7,0,0,0,"B1","B1"
643511,"RP",8,1,3,1,1,1,"B1","B1"
657044,"RP",7,0,0,0,0,0,"A","A"
605177,"RP",8,0,-3,0,0,0,"B2","B2"
607192,"SP",1,0,0,0,0,0,"A","A"
453343,"RP",9,0,1,0,0,0,"A","A"
669456,"SP",1,0,0,0,0,0,"A","A"
519076,"RP",7,0,-2,0,0,0,"A","A"
518516,"SP",1,0,1,0,0,0,"A","A"
592332,"SP",1,0,0,0,0,0,"A","A"
501925,"RP",8,0,4,0,0,0,"B1","B1"
502043,"SP",1,0,5,0,0,0,"B1","B1"
501625,"RP",10,0,0,0,1,0,"A","A++"
605164,"SP",1,0,0,0,0,0,"A","A"
592094,"RP",5,1,-1,0,1,1,"A","A++"
458676,"RP",9,0,-3,0,0,0,"B2","B2"
608648,"RP",5,1,2,0,1,1,"A","A++"
425844,"SP",1,0,0,0,0,0,"A","A"
519293,"RP",9,0,0,0,0,0,"A","A"
543294,"SP",1,0,0,0,0,0,"A","A"
503569,"RP",8,0,0,0,0,0,"A","A"
621368,"RP",1,1,1,1,1,1,"A","A++"
621219,"RP",9,0,-2,0,0,0,"A","A"
628452,"RP",9,0,1,0,0,0,"A","A"
593144,"RP",9,0,2,0,0,0,"A","A"
592473,"RP",8,0,-2,0,0,0,"A","A"
