"","pitcher","game_pk","Segmentation_tier2","game","performance","inning","p_per_inning"
"158",453268,718161,"A",1,1,0.667,1.49925037481259
"159",453268,718231,"A",1,7,0,Inf
"160",453268,718258,"A",1,1,0.667,1.49925037481259
"161",453268,718276,"B1",1,13,0.667,19.4902548725637
"162",453268,718315,"B1",1,9,0.667,13.4932533733133
"163",453268,718390,"B2",1,3,0.667,4.49775112443778
"164",453268,718421,"A",1,4,1.333,3.00075018754689
"165",453268,718475,"A",1,5,0.667,7.49625187406297
"166",453268,718509,"B2",1,0,0.667,0
"167",455117,716873,"B2",1,37,0.667,55.472263868066
"168",455119,716478,"A",1,0,0.667,0
"169",455119,716533,"A",1,-1,0.667,-1.49925037481259
"170",455119,716566,"A",1,4,0.667,5.99700149925038
"171",455119,716597,"B1",1,6,0.667,8.99550224887557
"172",455119,716612,"A",1,2,0.667,2.99850074962519
"173",455119,716716,"A+",1,1,0.333,3.003003003003
"174",455119,716722,"B1",1,-4,0.667,-5.99700149925038
"175",455119,716794,"B2",1,-2,0.667,-2.99850074962519
"176",455119,716849,"A++",1,-2,0,-Inf
"177",455119,716878,"A",1,6,0.667,8.99550224887557
"178",455119,716928,"A",1,6,0.667,8.99550224887557
"179",455119,716953,"B1",1,-2,0.334,-5.98802395209581
"180",455119,716993,"A",1,-2,0.667,-2.99850074962519
"181",455119,717014,"B1",1,15,0.667,22.4887556221889
"182",455119,717051,"A",1,-4,0.667,-5.99700149925038
"183",455119,717059,"A",1,9,0.667,13.4932533733133
"184",455119,717089,"A",1,-2,0.667,-2.99850074962519
"185",455119,717125,"A",1,6,0.667,8.99550224887557
"186",455119,717167,"A",1,-2,0.667,-2.99850074962519
"187",455119,717197,"A++",1,0,0.667,0
"188",455119,717220,"A",1,11,0.667,16.4917541229385
"189",455119,717261,"B1",1,-2,0,-Inf
"190",455119,717298,"B1",1,-2,0,-Inf
"191",455119,717324,"A",1,4,0.667,5.99700149925038
"192",455119,717366,"B1",1,-3,0.667,-4.49775112443778
"193",455119,717435,"A",1,6,0.667,8.99550224887557
"194",455119,717471,"B1",1,0,0,NA
"195",455119,717484,"A",1,1,0.667,1.49925037481259
"196",455119,717530,"A",1,0,0.667,0
"197",455119,717555,"B1",1,-2,0,-Inf
"198",455119,717569,"A++",1,4,0.667,5.99700149925038
"199",455119,717645,"A",1,6,0.667,8.99550224887557
"200",455119,717665,"A",1,-4,0.667,-5.99700149925038
"201",455119,717730,"B1",1,3,0.667,4.49775112443778
"202",455119,717788,"A",1,-4,0.667,-5.99700149925038
"203",455119,717810,"A++",1,-4,0.667,-5.99700149925038
"204",455119,717841,"A",1,0,0.667,0
"205",455119,717873,"B1",1,11,0.667,16.4917541229385
"206",455119,717918,"B1",1,-2,0.667,-2.99850074962519
"207",455119,717932,"A",1,9,0.667,13.4932533733133
"208",455119,717948,"A",1,-4,0.667,-5.99700149925038
"209",455119,717991,"A",1,0,0.334,0
"210",455119,718092,"A",1,0,0.667,0
"211",455119,718133,"B1",1,-2,0.667,-2.99850074962519
"212",455119,718220,"A",1,-3,0.667,-4.49775112443778
"213",455119,718301,"A",1,0,0.667,0
"214",455119,718323,"B1",1,-4,0.667,-5.99700149925038
"215",455119,718353,"A",1,7,0.667,10.4947526236882
"216",455119,718600,"A",1,4,0.667,5.99700149925038
"217",455119,718638,"A",1,13,0.667,19.4902548725637
"218",455119,718654,"A",1,6,0.667,8.99550224887557
"219",455119,718690,"B1",1,3,0.667,4.49775112443778
"220",455119,718748,"B1",1,3,0.667,4.49775112443778
"221",455119,718761,"A",1,-2,0.667,-2.99850074962519
"222",455119,718782,"B2",1,9,0.667,13.4932533733133
"223",456501,716482,"B2",1,0,0.667,0
"224",456501,716503,"B2",1,29,1.667,17.3965206958608
"225",456501,717384,"B2",1,4,2.667,1.49981252343457
"226",456713,717562,"A",1,22,0.667,32.9835082458771
"227",456713,717625,"A",1,7,0.667,10.4947526236882
"228",456713,717648,"B1",1,-2,0.667,-2.99850074962519
"229",456713,718461,"A",1,35,0.333,105.105105105105
"230",456713,718502,"A++",1,0,0.334,0
"231",456713,718517,"A",1,-6,0.667,-8.99550224887557
"232",456713,718534,"B1",1,11,0.667,16.4917541229385
"233",456713,718589,"A",1,12,0.667,17.9910044977511
"234",456713,718650,"B1",1,7,0.333,21.021021021021
"235",456713,718674,"B1",1,3,0.667,4.49775112443778
"236",456713,718698,"A",1,1,0.667,1.49925037481259
"237",456713,718758,"A",1,0,0.667,0
"238",472551,717355,"A",1,6,1,6
"239",472551,717451,"B2",1,1,1,1
"240",472551,717504,"B2",1,7,0.667,10.4947526236882
"241",472551,718100,"B2",1,41,1,41
"242",472551,718114,"B2",1,3,0.667,4.49775112443778
"243",472551,718138,"B2",1,6,0.334,17.9640718562874
"244",472610,716374,"B1",1,6,0.667,8.99550224887557
"245",472610,716391,"B1",1,9,0,Inf
"246",472610,716476,"A",1,13,0.333,39.039039039039
"247",472610,716500,"A",1,4,0.667,5.99700149925038
"248",472610,716526,"B1",1,7,0.667,10.4947526236882
"249",472610,716569,"B1",1,-2,0.667,-2.99850074962519
"250",472610,716622,"A",1,3,0.667,4.49775112443778
"251",472610,716649,"A",1,-2,0.667,-2.99850074962519
"252",472610,716691,"B2",1,4,0.667,5.99700149925038
"253",472610,716720,"A",1,1,1,1
"254",472610,716743,"B1",1,1,0.667,1.49925037481259
"255",472610,716782,"A",1,4,1.667,2.3995200959808
"256",472610,716822,"B2",1,3,0.667,4.49775112443778
"257",472610,716857,"B2",1,3,0.666,4.5045045045045
"258",472610,716887,"B2",1,0,0.667,0
"259",472610,716931,"B2",1,3,1.667,1.7996400719856
"260",472610,716980,"B1",1,22,0.667,32.9835082458771
"261",472610,716996,"B2",1,4,0.667,5.99700149925038
"262",472610,717093,"B2",1,7,0.334,20.9580838323354
"263",472610,717094,"B2",1,0,1.667,0
"264",472610,717129,"B2",1,0,0,NA
"265",472610,717158,"B1",1,7,0.667,10.4947526236882
"266",472610,717224,"B1",1,8,0.667,11.9940029985008
"267",472610,717276,"B2",1,-2,0.667,-2.99850074962519
"268",472610,717299,"B1",1,-4,0.667,-5.99700149925038
"269",472610,717331,"A",1,14,0.333,42.042042042042
"270",472610,717397,"B2",1,-2,1.334,-1.49925037481259
"271",472610,717418,"B1",1,22,0.333,66.066066066066
"272",472610,717436,"B1",1,11,0.667,16.4917541229385
"273",472610,717454,"A++",1,-1,1,-1
"274",472610,717497,"B1",1,-1,0.667,-1.49925037481259
"275",472610,717539,"B1",1,20,0.667,29.9850074962519
"276",472610,717571,"A++",1,3,1.334,2.24887556221889
"277",472610,717585,"B2",1,4,0.667,5.99700149925038
"278",472610,717610,"B2",1,-2,0.667,-2.99850074962519
"279",472610,717638,"A++",1,-2,0.334,-5.98802395209581
"280",472610,717661,"B1",1,-4,0.667,-5.99700149925038
"281",472610,717697,"A",1,9,0.333,27.027027027027
"282",472610,717750,"A",1,3,0.667,4.49775112443778
"283",472610,717798,"A",1,19,0,Inf
"284",472610,718052,"A",1,6,0.333,18.018018018018
"285",472610,718092,"B2",1,-4,0.667,-5.99700149925038
"286",472610,718140,"A",1,-2,0.667,-2.99850074962519
"287",472610,718144,"B2",1,0,0.667,0
"288",472610,718201,"A",1,-2,0.334,-5.98802395209581
"289",472610,718224,"A",1,3,0.667,4.49775112443778
"290",472610,718242,"A",1,4,0.333,12.012012012012
"291",472610,718335,"A++",1,6,0.667,8.99550224887557
"292",472610,718368,"A",1,-1,1.667,-0.599880023995201
"293",472610,718406,"B2",1,4,0.667,5.99700149925038
"294",472610,718426,"A",1,3,0.667,4.49775112443778
"295",472610,718484,"A",1,15,0.333,45.045045045045
"296",472610,718507,"A",1,-1,0.333,-3.003003003003
"297",472610,718560,"A",1,-2,0.667,-2.99850074962519
"298",472610,718589,"A++",1,1,0.667,1.49925037481259
"299",472610,718621,"A",1,3,0.667,4.49775112443778
"300",472610,718659,"B1",1,7,0.667,10.4947526236882
"301",472610,718676,"A++",1,6,1,6
"302",472610,718717,"A",1,9,0.333,27.027027027027
"303",472610,718733,"A",1,-1,0.667,-1.49925037481259
"304",472610,718766,"B2",1,2,0.667,2.99850074962519
"305",476595,716532,"B2",1,-6,1.667,-3.59928014397121
"306",476595,717340,"B2",1,6,0.667,8.99550224887557
"307",476595,717414,"B1",1,1,0.333,3.003003003003
"308",476595,717970,"A",1,13,0.333,39.039039039039
"309",476595,718019,"A",1,15,0.333,45.045045045045
"310",476595,718074,"A",1,1,0.667,1.49925037481259
"311",476595,718094,"B2",1,-4,0.667,-5.99700149925038
"312",476595,718601,"A",1,3,1.667,1.7996400719856
"313",476595,718648,"B2",1,23,1.334,17.2413793103448
"314",476595,718676,"A",1,-4,0.667,-5.99700149925038
"315",476595,718681,"A",1,16,0.667,23.9880059970015
"316",476595,718780,"B1",1,6,0.667,8.99550224887557
"317",488984,717836,"B2",1,25,1.333,18.754688672168
"318",488984,717840,"A++",1,16,0.667,23.9880059970015
"319",488984,717982,"B2",1,4,0.667,5.99700149925038
"320",488984,718024,"B1",1,2,1.667,1.1997600479904
"321",488984,718119,"B2",1,0,0,NA
"322",488984,718167,"B2",1,36,2.667,13.4983127109111
"323",488984,718223,"B2",1,5,2.333,2.14316330904415
"324",488984,718276,"B2",1,24,2.334,10.2827763496144
"325",488984,718352,"A",1,-8,1.667,-4.79904019196161
"326",488984,718398,"B1",1,8,1.667,4.79904019196161
"327",488984,718431,"B2",1,1,1,1
"328",488984,718480,"B1",1,1,0.667,1.49925037481259
"329",488984,718731,"B2",1,29,1.667,17.3965206958608
"330",488984,718771,"A",1,3,1.667,1.7996400719856
"331",489446,716369,"A",1,0,0.667,0
"332",489446,716412,"A",1,7,0.667,10.4947526236882
"333",489446,716496,"B1",1,-1,0.667,-1.49925037481259
"334",489446,716565,"A",1,20,0.667,29.9850074962519
"335",489446,716603,"B1",1,-2,0.667,-2.99850074962519
"336",489446,716651,"B2",1,10,0.667,14.9925037481259
"337",489446,716709,"B2",1,1,0.667,1.49925037481259
"338",489446,716757,"B1",1,1,0.667,1.49925037481259
"339",489446,716773,"B1",1,4,0.667,5.99700149925038
"340",489446,716848,"A",1,-2,0.667,-2.99850074962519
"341",489446,716876,"B1",1,-4,0.667,-5.99700149925038
"342",489446,716927,"A",1,8,0.667,11.9940029985008
"343",489446,716934,"A",1,-1,0.667,-1.49925037481259
"344",489446,716970,"A",1,-2,0.667,-2.99850074962519
"345",489446,716987,"B1",1,1,0.333,3.003003003003
"346",489446,717013,"A",1,1,0.667,1.49925037481259
"347",489446,717040,"B1",1,4,0.667,5.99700149925038
"348",489446,717079,"A",1,-1,0.667,-1.49925037481259
"349",489446,717098,"A",1,6,0.667,8.99550224887557
"350",489446,717165,"B1",1,1,0.667,1.49925037481259
"351",489446,717206,"A",1,-2,0.667,-2.99850074962519
"352",489446,717231,"B1",1,0,0.334,0
"353",489446,717242,"A",1,16,0.667,23.9880059970015
"354",489446,717313,"A",1,0,0.667,0
"355",489446,717337,"A",1,9,0.667,13.4932533733133
"356",489446,717358,"A",1,9,0.667,13.4932533733133
"357",489446,717391,"B2",1,-2,0.667,-2.99850074962519
"358",489446,717441,"B1",1,-2,0.334,-5.98802395209581
"359",489446,717495,"A",1,9,0.667,13.4932533733133
"360",489446,717536,"B1",1,1,0,Inf
"361",489446,717588,"A++",1,-6,1,-6
"362",489446,717609,"B1",1,-1,0.667,-1.49925037481259
"363",489446,717618,"B1",1,-2,0.667,-2.99850074962519
"364",489446,717650,"B2",1,-3,1.334,-2.24887556221889
"365",489446,717664,"A++",1,-4,0.667,-5.99700149925038
"366",489446,717716,"B1",1,20,0.667,29.9850074962519
"367",489446,717745,"B1",1,-3,1,-3
"368",489446,717770,"A+",1,-4,0.667,-5.99700149925038
"369",489446,717807,"A+",1,11,1.334,8.24587706146927
"370",489446,717829,"A",1,-4,0.667,-5.99700149925038
"371",489446,717850,"A",1,7,0.667,10.4947526236882
"372",489446,717970,"B2",1,1,0.667,1.49925037481259
"373",489446,717997,"A",1,7,0.334,20.9580838323354
"374",489446,718026,"A",1,1,0.667,1.49925037481259
"375",489446,718074,"B2",1,1,0.667,1.49925037481259
"376",489446,718094,"B2",1,18,0.667,26.9865067466267
"377",489446,718181,"A",1,0,0.667,0
"378",489446,718206,"A",1,9,0.667,13.4932533733133
"379",489446,718245,"B1",1,-1,0.667,-1.49925037481259
"380",489446,718298,"B2",1,1,0.667,1.49925037481259
"381",489446,718321,"B1",1,-6,0.667,-8.99550224887557
"382",489446,718346,"B1",1,-1,0.667,-1.49925037481259
"383",489446,718410,"B1",1,3,0.667,4.49775112443778
"384",489446,718471,"A",1,2,0.667,2.99850074962519
"385",489446,718519,"B1",1,2,0.667,2.99850074962519
"386",489446,718563,"B1",1,4,0.667,5.99700149925038
"387",489446,718601,"A",1,1,0.667,1.49925037481259
"388",489446,718659,"A++",1,1,0.334,2.99401197604791
"389",489446,718681,"A",1,7,0.667,10.4947526236882
"390",489446,718711,"B1",1,4,0.667,5.99700149925038
"391",489446,718753,"B1",1,13,0.667,19.4902548725637
"392",493603,716376,"B1",1,10,0.667,14.9925037481259
"393",493603,716430,"A",1,5,0.667,7.49625187406297
"394",493603,716481,"A++",1,3,0,Inf
"395",493603,716535,"A",1,-4,0.667,-5.99700149925038
"396",493603,716555,"A",1,-4,0.667,-5.99700149925038
"397",493603,716615,"A++",1,-2,1.334,-1.49925037481259
"398",493603,716639,"A",1,5,0.667,7.49625187406297
"399",493603,716742,"B1",1,0,0.667,0
"400",493603,716751,"A",1,9,0.667,13.4932533733133
"401",493603,716783,"A++",1,9,0.667,13.4932533733133
"402",493603,716829,"A",1,-2,0.667,-2.99850074962519
"403",493603,716840,"A",1,0,0.667,0
"404",493603,716910,"B1",1,1,0.667,1.49925037481259
"405",493603,716974,"B1",1,1,0.667,1.49925037481259
"406",493603,717002,"B1",1,-4,0.667,-5.99700149925038
"407",493603,717013,"A",1,0,0.667,0
"408",493603,717062,"A",1,19,0,Inf
"409",493603,717080,"A",1,2,0.667,2.99850074962519
"410",493603,717107,"A",1,0,0.667,0
"411",493603,717170,"A",1,3,0.667,4.49775112443778
"412",493603,717203,"B1",1,-2,0.334,-5.98802395209581
"413",493603,717230,"B1",1,3,0.667,4.49775112443778
"414",493603,717266,"B1",1,1,0.667,1.49925037481259
"415",493603,717298,"B2",1,6,0.667,8.99550224887557
"416",493603,717341,"B1",1,0,0.667,0
"417",493603,717359,"A",1,3,0.667,4.49775112443778
"418",493603,717400,"A",1,12,0.667,17.9910044977511
"419",493603,717454,"A++",1,3,1,3
"420",493603,717498,"B1",1,-1,0.667,-1.49925037481259
"421",493603,717525,"A+",1,4,0,Inf
"422",493603,717535,"B1",1,3,0.333,9.009009009009
"423",493603,717581,"A",1,13,0.334,38.9221556886228
"424",493603,717607,"A",1,4,0.667,5.99700149925038
"425",493603,717635,"A+",1,4,0.666,6.006006006006
"426",493603,717670,"A++",1,-6,1.667,-3.59928014397121
"427",493603,717713,"A",1,14,0.667,20.9895052473763
"428",493603,717718,"A++",1,-4,0.334,-11.9760479041916
"429",493603,717766,"A",1,4,0.667,5.99700149925038
"430",493603,717812,"B1",1,-2,0.667,-2.99850074962519
"431",493603,717850,"A++",1,14,0.334,41.9161676646707
"432",493603,717872,"A",1,9,0.667,13.4932533733133
"433",493603,717910,"A",1,6,1.333,4.50112528132033
"434",493603,717944,"B1",1,-2,0.334,-5.98802395209581
"435",493603,717962,"A",1,1,0.667,1.49925037481259
"436",493603,718016,"B1",1,1,0.334,2.99401197604791
"437",493603,718024,"B1",1,3,0,Inf
"438",493603,718099,"B1",1,15,0.667,22.4887556221889
"439",493603,718119,"A",1,0,0.667,0
"440",493603,718135,"A",1,18,0.667,26.9865067466267
"441",493603,718150,"B2",1,1,0.667,1.49925037481259
"442",493603,718214,"A",1,-2,0.667,-2.99850074962519
"443",493603,718225,"A",1,-2,0.667,-2.99850074962519
"444",493603,718243,"B2",1,0,0.667,0
"445",493603,718302,"A",1,1,0.667,1.49925037481259
"446",493603,718348,"A",1,5,0.667,7.49625187406297
"447",493603,718412,"A",1,2,0.667,2.99850074962519
"448",493603,718431,"B2",1,0,0.667,0
"449",493603,718508,"B1",1,11,0.667,16.4917541229385
"450",493603,718532,"A",1,0,0.667,0
"451",493603,718565,"A",1,4,0.667,5.99700149925038
"452",493603,718610,"B1",1,3,0.333,9.009009009009
"453",493603,718634,"B1",1,-3,0.667,-4.49775112443778
"454",493603,718693,"B1",1,-4,0.667,-5.99700149925038
"455",493603,718698,"A",1,13,0,Inf
"456",493603,718712,"B2",1,3,0.333,9.009009009009
"457",493603,718755,"B1",1,2,0.667,2.99850074962519
"458",500743,716405,"B2",1,6,0.333,18.018018018018
"459",500743,716946,"B2",1,0,0.667,0
"460",500743,717194,"B2",1,15,0.667,22.4887556221889
"461",500871,716570,"B2",1,0,1.334,0
"462",500871,716925,"B2",1,9,0.667,13.4932533733133
"463",500871,716997,"B2",1,6,0.667,8.99550224887557
"464",502083,716389,"B2",1,-2,0,-Inf
"465",502083,716403,"B2",1,22,0.333,66.066066066066
"466",502083,716458,"B2",1,0,0,NA
"467",502083,716520,"B2",1,25,0.667,37.4812593703149
"468",502083,716579,"A++",1,2,1,2
"469",502083,716593,"A+",1,1,0.667,1.49925037481259
"470",502083,716612,"A",1,7,1,7
"471",502085,716378,"A",1,-4,0.667,-5.99700149925038
"472",502085,716398,"A",1,1,0.667,1.49925037481259
"473",502085,716430,"A",1,-6,0.667,-8.99550224887557
"474",502085,716447,"B1",1,-1,0.667,-1.49925037481259
"475",502085,716503,"B2",1,0,0.334,0
"476",502085,716535,"A",1,2,0.667,2.99850074962519
"477",502085,716582,"A",1,12,0.333,36.036036036036
"478",502085,716592,"A",1,0,0.667,0
"479",502085,716643,"A",1,3,0.667,4.49775112443778
"480",502085,716679,"A",1,1,0.333,3.003003003003
"481",502085,716771,"A",1,-1,0.667,-1.49925037481259
"482",502085,716778,"A++",1,5,0.667,7.49625187406297
"483",502085,716844,"A",1,13,0.667,19.4902548725637
"484",502085,716887,"B1",1,1,0.667,1.49925037481259
"485",502085,716909,"A",1,18,0.667,26.9865067466267
"486",502085,716946,"B1",1,1,0.667,1.49925037481259
"487",502085,717000,"B1",1,3,0.667,4.49775112443778
"488",502085,717070,"A",1,1,0.667,1.49925037481259
"489",502085,717083,"A",1,-1,0.667,-1.49925037481259
"490",502085,717159,"A++",1,11,0.667,16.4917541229385
"491",502085,717182,"A",1,20,0.667,29.9850074962519
"492",502085,717202,"A",1,-2,0.667,-2.99850074962519
"493",502085,717266,"B1",1,0,0.334,0
"494",502085,717324,"A",1,-2,0.667,-2.99850074962519
"495",502085,717359,"A",1,9,0.667,13.4932533733133
"496",502085,717385,"A",1,4,1.667,2.3995200959808
"497",502085,717454,"B1",1,11,0.667,16.4917541229385
"498",502085,717477,"A",1,-2,0.667,-2.99850074962519
"499",502085,717498,"B1",1,6,0,Inf
"500",502085,717525,"B1",1,-4,0.667,-5.99700149925038
"501",502085,717556,"A",1,17,0.667,25.4872563718141
"502",502085,717565,"A",1,3,0.667,4.49775112443778
"503",502085,717607,"A",1,-2,0.667,-2.99850074962519
